scenario_label,scenario,time_index,tau,relative_day,q_value,prob_hosp,delay_hosp,prob_unsafe_funeral_comm,prob_unsafe_funeral_hosp,prob_unsafe_funeral_etu,prop_etu,ipc_helper
Worst_WestAfrica,Worst_WestAfrica,86,0.858586,306.515,0.855315,0.855955,2.223423,0.144685,0.004341,0.000000,0.769784,0.812550
Worst_WestAfrica,Worst_WestAfrica,87,0.868687,310.121,0.862505,0.860628,2.187473,0.137495,0.004125,0.000000,0.776255,0.819380
Worst_WestAfrica,Worst_WestAfrica,88,0.878788,313.727,0.869393,0.865105,2.153037,0.130607,0.003918,0.000000,0.782453,0.825923
Worst_WestAfrica,Worst_WestAfrica,89,0.888889,317.333,0.875985,0.869390,2.120077,0.124015,0.003720,0.000000,0.788386,0.832185
Worst_WestAfrica,Worst_WestAfrica,90,0.898990,320.939,0.882289,0.873488,2.088556,0.117711,0.003531,0.000000,0.794060,0.838174
Worst_WestAfrica,Worst_WestAfrica,91,0.909091,324.545,0.888313,0.877404,2.058433,0.111687,0.003351,0.000000,0.799482,0.843898
Worst_WestAfrica,Worst_WestAfrica,92,0.919192,328.152,0.894067,0.881143,2.029666,0.105933,0.003178,0.000000,0.804660,0.849363
Worst_WestAfrica,Worst_WestAfrica,93,0.929293,331.758,0.899557,0.884712,2.002214,0.100443,0.003013,0.000000,0.809601,0.854579
Worst_WestAfrica,Worst_WestAfrica,94,0.939394,335.364,0.904793,0.888116,1.976033,0.095207,0.002856,0.000000,0.814314,0.859554
Worst_WestAfrica,Worst_WestAfrica,95,0.949495,338.970,0.909784,0.891360,1.951080,0.090216,0.002706,0.000000,0.818806,0.864295
Worst_WestAfrica,Worst_WestAfrica,96,0.959596,342.576,0.914538,0.894449,1.927312,0.085462,0.002564,0.000000,0.823084,0.868811
Worst_WestAfrica,Worst_WestAfrica,97,0.969697,346.182,0.919063,0.897391,1.904684,0.080937,0.002428,0.000000,0.827157,0.873110
Worst_WestAfrica,Worst_WestAfrica,98,0.979798,349.788,0.923369,0.900190,1.883155,0.076631,0.002299,0.000000,0.831032,0.877201
Worst_WestAfrica,Worst_WestAfrica,99,0.989899,353.394,0.927464,0.902852,1.862680,0.072536,0.002176,0.000000,0.834718,0.881091
Worst_WestAfrica,Worst_WestAfrica,100,1.000000,357.000,0.931356,0.905382,1.843218,0.068644,0.002059,0.000000,0.838221,0.884789
Middle_DRC_NoConflict,Middle_DRC_NoConflict,1,0.000000,0.000,,0.309743,5.780178,0.983582,0.009318,0.000000,0.160525,0.115277
Middle_DRC_NoConflict,Middle_DRC_NoConflict,2,0.010101,1.949,,0.314118,5.731697,0.977015,0.009297,0.000000,0.170826,0.121789
Middle_DRC_NoConflict,Middle_DRC_NoConflict,3,0.020202,3.899,,0.318725,5.680627,0.970160,0.009274,0.000000,0.181764,0.128642
Middle_DRC_NoConflict,Middle_DRC_NoConflict,4,0.030303,5.848,,0.323567,5.626925,0.963008,0.009249,0.000000,0.193341,0.135843
Middle_DRC_NoConflict,Middle_DRC_NoConflict,5,0.040404,7.798,,0.328650,5.570569,0.955549,0.009223,0.000000,0.205552,0.143401
Middle_DRC_NoConflict,Middle_DRC_NoConflict,6,0.050505,9.747,,0.333975,5.511547,0.947776,0.009194,0.000000,0.218384,0.151321
Middle_DRC_NoConflict,Middle_DRC_NoConflict,7,0.060606,11.697,,0.339547,5.449842,0.939679,0.009163,0.000000,0.231818,0.159609
Middle_DRC_NoConflict,Middle_DRC_NoConflict,8,0.070707,13.646,,0.345381,5.385435,0.931252,0.009129,0.000000,0.245829,0.168269
Middle_DRC_NoConflict,Middle_DRC_NoConflict,9,0.080808,15.596,,0.351486,5.318308,0.922486,0.009093,0.000000,0.260382,0.177304
Middle_DRC_NoConflict,Middle_DRC_NoConflict,10,0.090909,17.545,,0.357802,5.248468,0.913376,0.009054,0.000000,0.275444,0.186715
Middle_DRC_NoConflict,Middle_DRC_NoConflict,11,0.101010,19.495,,0.364326,5.175956,0.903916,0.009012,0.000000,0.290970,0.196500
Middle_DRC_NoConflict,Middle_DRC_NoConflict,12,0.111111,21.444,,0.371072,5.100829,0.894101,0.008966,0.000000,0.306893,0.206651
Middle_DRC_NoConflict,Middle_DRC_NoConflict,13,0.121212,23.394,,0.378036,5.023155,0.883928,0.008918,0.000000,0.323129,0.217159
Middle_DRC_NoConflict,Middle_DRC_NoConflict,14,0.131313,25.343,,0.385207,4.943008,0.873395,0.008865,0.000000,0.339614,0.228012
Middle_DRC_NoConflict,Middle_DRC_NoConflict,15,0.141414,27.293,,0.392575,4.860480,0.862500,0.008809,0.000000,0.356282,0.239195
Middle_DRC_NoConflict,Middle_DRC_NoConflict,16,0.151515,29.242,,0.400130,4.775678,0.851243,0.008748,0.000000,0.373071,0.250690
Middle_DRC_NoConflict,Middle_DRC_NoConflict,17,0.161616,31.192,,0.407864,4.688741,0.839626,0.008683,0.000000,0.389920,0.262483
Middle_DRC_NoConflict,Middle_DRC_NoConflict,18,0.171717,33.141,,0.415765,4.599875,0.827650,0.008614,0.000000,0.406765,0.274558
Middle_DRC_NoConflict,Middle_DRC_NoConflict,19,0.181818,35.091,,0.423829,4.509371,0.815320,0.008540,0.000000,0.423523,0.286899
Middle_DRC_NoConflict,Middle_DRC_NoConflict,20,0.191919,37.040,,0.432053,4.417556,0.802645,0.008460,0.000000,0.440114,0.299489
Middle_DRC_NoConflict,Middle_DRC_NoConflict,21,0.202020,38.990,,0.440429,4.324777,0.789633,0.008376,0.000000,0.456455,0.312307
Middle_DRC_NoConflict,Middle_DRC_NoConflict,22,0.212121,40.939,,0.448928,4.231411,0.776297,0.008286,0.000000,0.472453,0.325323
Middle_DRC_NoConflict,Middle_DRC_NoConflict,23,0.222222,42.889,,0.457514,4.137838,0.762654,0.008190,0.000000,0.488069,0.338497
Middle_DRC_NoConflict,Middle_DRC_NoConflict,24,0.232323,44.838,,0.466178,4.044422,0.748724,0.008088,0.000000,0.503291,0.351800
Middle_DRC_NoConflict,Middle_DRC_NoConflict,25,0.242424,46.788,,0.474909,3.951503,0.734531,0.007981,0.000000,0.518113,0.365209
Middle_DRC_NoConflict,Middle_DRC_NoConflict,26,0.252525,48.737,,0.483698,3.859414,0.720102,0.007867,0.000000,0.532538,0.378704
Middle_DRC_NoConflict,Middle_DRC_NoConflict,27,0.262626,50.687,,0.492531,3.768480,0.705468,0.007748,0.000000,0.546572,0.392261
Middle_DRC_NoConflict,Middle_DRC_NoConflict,28,0.272727,52.636,,0.501399,3.678977,0.690664,0.007622,0.000000,0.560221,0.405852
